,carat,cut,color,clarity,depth,table,price,volume
68,0.9,Ideal,G,SI1,61.6,57.0,4001,147.07305599999998
69,0.83,Premium,F,VS2,62.0,59.0,3393,132.6696
70,0.9,Very Good,F,SI2,60.3,63.0,3630,147.025476
71,0.32,Very Good,G,VS2,60.9,58.0,564,53.106300000000005
72,1.05,Good,E,VS1,63.1,59.0,7826,170.79084
73,0.9,Very Good,D,SI1,62.4,63.0,3997,146.32694999999998
74,0.71,Ideal,E,SI2,62.3,57.0,2190,115.33381999999999
75,0.6,Ideal,F,VVS2,61.5,57.0,3196,98.66026
76,1.23,Very Good,J,VVS2,61.2,57.0,5665,200.328464
77,1.01,Fair,D,SI1,62.6,57.0,5628,147.798396
78,0.7,Fair,F,VS1,65.8,59.0,2381,111.30537600000001
79,1.59,Ideal,I,SI1,62.4,56.0,10106,260.03172800000004
80,0.35,Very Good,G,IF,62.2,58.0,1044,56.11805999999999
81,0.9,Good,F,VS2,63.6,59.0,4234,143.292942
82,2.0,Fair,F,SI2,70.2,57.0,15351,309.248478
83,0.71,Premium,E,SI1,60.4,62.0,2441,111.567456
84,0.26,Very Good,F,VVS1,60.8,58.0,679,43.293096
85,0.53,Ideal,F,VS2,61.2,56.0,1655,87.696
86,0.35,Premium,I,VS2,61.2,58.0,630,58.013865
87,0.3,Premium,G,VVS2,62.0,60.0,684,48.95065
88,1.04,Very Good,G,SI2,60.6,57.0,4703,172.75104
89,0.23,Very Good,F,VVS1,62.3,55.0,583,38.284488
90,1.03,Premium,F,VS1,61.8,59.0,7328,167.44320000000002
91,0.3,Ideal,G,SI1,62.2,57.0,477,48.612564
92,1.08,Good,E,SI1,63.1,59.0,5096,174.18056700000002
93,1.53,Ideal,I,SI2,61.3,59.0,8062,248.945452
94,1.2,Ideal,E,VS2,61.3,56.0,10214,198.40719599999997
95,0.71,Ideal,E,SI1,60.8,57.0,3360,119.90688
96,0.41,Premium,G,SI1,60.3,59.0,923,65.66515199999999
97,1.09,Premium,G,VS2,62.1,57.0,5098,176.3784
98,0.7,Good,F,SI1,61.1,61.0,2445,112.866144
99,0.91,Premium,D,SI2,61.5,56.0,4051,149.75769599999998
100,1.07,Very Good,D,IF,60.9,58.0,18114,176.602257
101,1.52,Good,H,SI1,64.1,59.0,8915,233.80808399999998
102,0.81,Good,F,SI1,64.3,53.0,2718,134.427087
103,0.5,Very Good,F,SI1,62.8,56.0,1250,80.682206
104,0.35,Very Good,H,VVS2,63.0,55.0,706,57.05280000000001
105,0.7,Very Good,G,VS1,60.1,60.0,3017,113.86656000000002
106,0.34,Premium,H,SI1,60.2,58.0,477,54.876416
107,0.71,Ideal,E,SI1,60.5,56.0,3527,119.774312
108,0.31,Ideal,E,VS2,61.7,55.0,872,51.67908
109,0.55,Premium,E,VS2,61.5,56.0,1881,89.81280000000001
110,1.05,Ideal,G,VS2,61.9,56.0,6604,173.22335999999996
111,0.32,Premium,H,SI1,60.9,60.0,461,52.43348
112,0.3,Ideal,E,VVS2,61.5,58.0,766,48.70008
113,0.7,Very Good,H,SI2,61.6,56.1,2306,116.50553199999999
114,0.9,Very Good,H,SI2,62.8,57.0,3160,147.9444
115,0.32,Very Good,F,VVS2,61.8,60.0,786,52.106796
116,1.12,Ideal,D,VS2,62.0,55.0,8279,181.921896
117,0.72,Very Good,G,VS2,63.3,57.0,2477,116.55252000000002
118,0.7,Ideal,E,SI1,62.2,57.0,2542,114.81069600000001
119,0.3,Very Good,F,VS2,62.9,57.0,605,50.340147
120,0.5,Ideal,F,VVS2,59.9,58.0,2016,82.113042
121,1.5,Premium,D,SI2,58.7,57.0,9173,242.54199200000002
122,0.55,Very Good,E,VVS2,60.6,56.0,2499,92.56291200000001
123,0.53,Good,E,SI2,63.0,60.0,1127,84.837242
124,1.0,Good,F,SI1,63.3,61.0,4712,158.362701
125,0.74,Very Good,D,VS2,62.4,57.0,2906,119.8512
126,0.5,Ideal,D,SI1,60.9,57.0,1563,81.788616
127,0.34,Premium,H,VS1,62.2,58.0,765,54.974528
128,1.33,Premium,H,SI1,61.9,58.0,7302,213.264128
129,0.58,Premium,E,SI1,62.1,58.0,1812,94.032135
130,0.32,Ideal,F,VS1,62.0,54.0,876,54.0903
131,1.0,Premium,E,SI2,62.8,59.0,4200,158.56974
132,0.33,Premium,E,VS1,61.0,55.0,1069,55.237578
133,1.03,Ideal,F,VVS2,62.0,56.0,9245,167.60196000000002
134,0.72,Premium,G,VVS2,61.6,58.0,2720,119.887026
135,0.7,Premium,H,VS1,60.6,59.0,2636,116.72289999999998
136,0.39,Very Good,G,SI1,62.5,55.0,694,64.44828
137,0.71,Ideal,D,SI1,60.2,56.0,2822,120.25657600000001
138,0.71,Very Good,D,SI2,60.2,58.0,2519,116.25984
139,1.53,Ideal,H,VVS2,61.9,57.0,12848,247.68323999999996
140,1.0,Very Good,F,VS2,61.1,60.0,6619,159.89866800000001
141,0.39,Very Good,G,VS1,61.7,62.0,741,62.80848
142,0.4,Good,D,VS2,63.2,57.0,786,64.82844
143,1.01,Very Good,F,SI2,59.5,57.0,3709,173.88927
144,1.01,Good,F,VVS2,63.6,60.0,6932,161.730348
145,1.14,Ideal,H,SI2,62.6,57.0,4788,186.23404799999997
146,0.51,Ideal,F,VS2,62.9,57.0,1687,83.49177900000001
147,1.5,Ideal,H,VS2,62.2,57.0,10692,241.932514
148,0.75,Ideal,D,SI2,60.3,57.0,2726,121.97601
149,0.31,Ideal,G,VS2,61.4,56.0,698,50.522808
150,0.97,Ideal,E,SI2,62.3,56.0,4078,156.226932
151,0.9,Very Good,F,VS2,61.7,57.0,4493,146.365974
152,0.3,Premium,H,IF,60.4,60.0,1013,48.70782
153,0.9,Premium,I,SI2,62.5,58.0,2948,143.68245000000002
154,1.0,Premium,H,SI2,60.0,62.0,3584,166.215273
155,0.3,Ideal,D,SI1,62.2,55.0,709,49.78287600000001
156,1.02,Ideal,E,VS2,61.0,56.0,8225,169.190994
157,0.9,Good,D,SI1,63.6,63.0,3755,140.918085
158,1.55,Very Good,G,SI1,59.2,59.0,10707,254.79402299999995
159,0.68,Good,G,VVS1,61.9,55.0,3225,111.92439999999999
160,0.4,Very Good,E,SI1,63.3,56.0,882,66.105936
161,0.51,Premium,H,SI2,62.9,56.0,1125,81.998312
162,2.32,Premium,J,SI2,59.0,59.0,14666,383.666976
163,0.31,Ideal,H,SI1,61.2,58.0,417,51.413924
164,1.1,Ideal,H,VS1,61.4,57.0,6470,180.15648
165,1.0,Premium,F,I1,62.4,59.0,3405,160.583324
166,0.72,Very Good,D,SI2,61.3,59.0,2692,117.11551599999999
167,0.38,Ideal,G,SI1,61.6,54.0,710,63.703692000000004
168,1.22,Very Good,H,SI1,62.4,57.0,6323,196.05590400000003
169,0.53,Ideal,G,VVS1,61.4,57.0,2106,86.091082
170,1.02,Premium,G,VS2,62.7,58.0,5506,164.243184
171,0.33,Very Good,H,IF,61.7,59.0,787,54.014990000000004
172,1.06,Ideal,I,VS1,61.8,56.0,6060,172.95524999999998
173,0.3,Premium,F,IF,60.7,58.0,1013,49.954344000000006
174,0.28,Ideal,D,VS2,62.4,57.0,487,45.60192
175,0.31,Ideal,F,VS2,61.9,55.0,802,51.989453
176,1.01,Very Good,E,VS2,61.9,55.0,6666,163.11618400000003
177,1.53,Ideal,I,VS1,62.8,55.0,10796,251.82569999999998
178,1.07,Premium,H,SI1,58.9,59.0,4235,180.07761200000002
179,0.25,Ideal,F,VS2,61.6,55.0,535,41.57764799999999
180,0.33,Ideal,H,VVS2,61.9,57.0,666,53.650296000000004
181,1.25,Premium,J,VS2,62.0,59.0,5264,202.41081
182,0.32,Ideal,G,VVS1,61.1,55.0,814,54.42528000000001
183,0.55,Ideal,D,VS2,60.2,56.0,2459,92.334788
184,1.12,Premium,J,SI2,60.7,61.0,3266,180.44532
185,0.27,Ideal,G,VS1,62.3,53.0,527,45.31904000000001
186,0.93,Premium,J,VS1,60.3,58.0,3062,153.54375399999998
187,0.31,Ideal,H,VVS2,62.5,55.0,802,51.58697600000001
188,0.43,Very Good,F,VS2,62.5,60.0,804,70.597332
189,0.31,Good,I,SI1,63.8,55.0,523,51.62690399999999
190,1.23,Ideal,H,IF,61.3,57.0,8431,201.09589200000002
191,1.01,Very Good,F,SI2,62.4,58.0,4416,162.91848300000004
192,0.4,Ideal,G,VVS2,62.3,54.0,931,67.43385
193,1.3,Premium,F,VS1,62.5,58.0,11392,210.41733
194,0.5,Very Good,F,SI2,63.1,60.0,1020,79.884
195,2.03,Premium,D,SI2,62.4,59.0,18286,320.796
196,0.4,Very Good,J,VS2,62.9,57.0,596,66.30525
197,0.32,Very Good,E,SI1,63.3,56.0,720,51.917249999999996
198,1.01,Good,E,SI2,63.9,58.0,3737,162.788535
199,1.04,Ideal,H,SI1,62.5,57.0,4648,170.0595
200,0.31,Premium,E,VVS2,61.9,58.0,1046,51.443099999999994
201,1.06,Ideal,I,VS2,62.3,56.0,4530,173.811792
202,1.05,Good,H,SI1,63.1,60.0,4608,169.57980600000002
203,0.71,Ideal,E,VS2,62.2,57.0,2776,115.51629
204,0.34,Ideal,I,VS1,62.6,56.0,537,55.372572000000005
205,0.73,Ideal,F,VVS2,62.2,54.0,3193,119.7265
206,0.99,Good,F,SI2,63.3,54.0,4052,165.62394
207,0.9,Ideal,E,SI2,62.2,55.0,4191,148.616948
208,0.36,Very Good,G,VS1,62.9,57.0,726,60.410879999999985
209,0.43,Ideal,E,VS2,61.9,56.0,1048,71.24068
210,1.01,Premium,G,SI2,62.0,58.0,4327,161.693532
211,1.19,Premium,D,SI2,58.8,58.0,5504,199.1616
212,0.39,Very Good,H,SI2,62.4,59.0,562,61.33536
213,0.87,Very Good,J,SI1,63.1,60.0,2379,135.84866399999999
214,0.91,Ideal,E,SI1,61.4,54.0,5252,149.99961599999997
215,0.35,Ideal,G,VS2,61.0,57.0,633,57.678884000000004
216,1.02,Very Good,F,SI1,61.9,58.0,5019,166.9228
217,0.72,Very Good,H,VS2,62.9,58.0,2396,117.99
218,0.7,Very Good,F,SI1,60.6,60.0,2662,113.92877500000002
219,1.56,Ideal,J,VS2,62.4,57.0,7809,255.24912199999997
220,1.12,Very Good,H,SI2,61.8,58.0,4624,181.75077600000003
221,1.12,Very Good,G,SI2,60.2,59.0,4852,187.2516
222,2.16,Very Good,H,SI2,62.3,60.0,14824,349.82274599999994
223,0.51,Ideal,D,VS2,62.5,56.0,2056,83.88576
224,0.24,Very Good,F,VVS2,62.5,56.0,478,39.998999999999995
225,1.27,Premium,J,SI2,60.4,58.0,4660,208.9472
226,0.9,Very Good,G,VS2,60.9,59.0,4269,145.768896
227,0.7,Fair,H,SI1,64.5,59.0,2176,108.670424
228,0.56,Ideal,F,VS2,62.6,56.0,1761,92.62704000000001
229,1.13,Premium,H,SI1,60.1,60.0,5050,184.982126
230,0.51,Very Good,J,SI1,63.3,56.0,1071,82.50470399999999
231,1.01,Ideal,G,VS1,62.9,57.0,6176,165.583431
232,0.56,Ideal,F,VS2,61.6,55.0,1723,92.026956
233,0.73,Ideal,G,SI1,62.1,54.0,2351,120.14150399999998
234,0.91,Premium,E,SI2,62.8,59.0,3898,145.756688
235,0.4,Ideal,D,VS1,62.9,56.0,1200,64.887315
236,0.34,Ideal,E,VS2,62.2,55.0,956,56.121408
237,1.7,Premium,I,VS2,62.2,58.0,11888,275.5836
238,0.9,Very Good,E,VS2,62.9,57.0,4580,147.706944
239,0.51,Ideal,E,VS2,61.7,54.0,1781,84.503412
240,0.7,Good,E,VS2,60.3,60.0,3115,112.875375
241,0.43,Premium,G,VS2,61.3,58.0,867,69.71718600000001
242,0.73,Premium,E,SI1,62.2,59.0,2821,116.67401599999998
243,0.32,Ideal,E,VS1,61.4,55.0,713,53.379456000000005
244,0.32,Premium,H,VVS1,61.5,59.0,936,52.03359000000001
245,0.91,Very Good,F,SI2,62.4,58.0,3659,147.89860199999998
246,0.4,Good,J,VS2,64.0,57.0,591,65.84700000000001
247,0.46,Ideal,F,SI2,62.1,54.7,851,75.92508000000001
248,1.01,Very Good,I,VS2,62.3,60.0,4666,161.083941
249,0.31,Ideal,F,VS2,62.0,56.0,625,51.75151499999998
250,1.11,Ideal,H,SI2,62.0,54.0,4662,180.389544
251,0.5,Premium,E,I1,60.7,61.0,840,80.20712999999999
252,0.51,Premium,E,VS2,62.5,60.0,1709,82.38744
253,0.3,Ideal,F,VVS1,61.9,57.0,776,49.59792
254,0.41,Ideal,E,VVS1,61.3,56.0,1367,67.737306
255,0.53,Good,D,SI2,63.9,55.0,1226,85.71977999999999
256,0.3,Premium,H,VS2,61.1,59.0,608,49.79615
257,0.4,Premium,H,VS1,62.6,58.0,807,64.802892
258,0.32,Ideal,D,VVS2,61.2,56.0,803,52.50879
259,1.3,Ideal,F,VVS2,62.1,55.0,12629,213.14303999999996
260,2.03,Very Good,I,SI1,62.3,60.0,16392,323.849907
261,2.03,Good,G,SI2,62.7,65.0,13621,327.414384
262,1.2,Very Good,H,SI1,62.3,57.0,6569,193.414416
263,2.18,Ideal,I,VS2,62.0,57.0,13769,353.65256
264,0.26,Premium,E,VS2,62.1,56.0,580,43.454208
265,0.91,Fair,H,SI1,64.7,56.0,3816,145.88638
266,0.34,Ideal,E,SI1,62.1,55.0,765,56.24556299999999
267,0.33,Ideal,G,VVS1,60.8,56.0,868,53.225640000000006
268,0.33,Ideal,F,VVS1,61.9,55.0,955,53.771952000000006
269,0.35,Premium,E,VS1,62.2,58.0,718,56.12085
270,0.71,Very Good,G,VS1,63.3,56.0,2494,114.48410399999999
271,1.07,Premium,D,SI1,60.2,55.0,6112,177.86435199999997
272,0.71,Very Good,D,VS1,62.9,56.0,3465,114.97185000000002
273,2.23,Premium,J,VS2,61.0,58.0,14867,358.41744400000005
274,0.43,Ideal,H,VVS1,61.6,55.0,1017,71.14949999999999
275,0.55,Ideal,D,VS2,62.7,57.0,1755,88.93092
276,0.9,Ideal,G,SI2,62.3,56.0,3718,146.79819
277,0.72,Very Good,I,VVS1,62.8,56.0,2562,117.455825
278,0.31,Ideal,J,VS1,61.7,55.1,429,51.67908
279,0.23,Ideal,H,VVS1,61.1,55.0,484,38.941911999999995
280,0.31,Premium,E,VVS2,60.4,59.0,1046,49.880054
281,1.52,Ideal,F,SI2,61.9,57.0,10129,245.800555
282,1.22,Very Good,D,SI2,59.0,58.0,6607,204.00595199999998
283,1.32,Ideal,I,VS1,61.2,57.0,7480,218.15964799999998
284,1.24,Premium,D,SI2,59.9,59.0,5382,203.64750999999998
285,1.01,Premium,H,VS2,61.6,59.0,5166,166.09136999999998
286,0.4,Ideal,I,VS2,61.8,56.0,639,66.610698
287,0.8,Premium,J,SI2,61.4,57.0,2074,130.005762
288,0.5,Very Good,E,SI1,63.0,58.0,1316,81.67420800000001
289,1.09,Good,F,SI2,60.3,61.0,4698,178.574832
290,0.3,Premium,G,IF,60.2,58.0,895,50.22379499999999
291,0.2,Premium,E,VS2,59.0,60.0,367,32.260032
292,1.21,Ideal,G,VS2,60.1,57.0,9873,202.48421600000003
293,1.43,Fair,E,SI2,66.0,57.0,6086,227.5182
294,0.56,Ideal,I,IF,61.9,54.0,1689,92.937894
295,1.71,Ideal,J,VVS2,61.6,59.0,10945,277.30944
296,1.24,Premium,F,VS2,62.2,58.0,9411,201.23485199999996
297,1.43,Premium,F,SI1,61.5,58.0,8809,233.57783
298,2.32,Premium,J,VS2,62.4,57.0,17053,375.39264000000003
299,0.34,Premium,I,VVS1,62.6,58.0,626,55.497285000000005
300,0.41,Ideal,E,VVS1,60.7,57.0,1367,68.21039999999999
301,1.12,Very Good,F,SI1,62.9,57.0,6262,181.75872
302,1.03,Premium,E,VS2,62.5,59.0,6183,166.20609599999997
303,1.35,Premium,F,SI2,62.8,60.0,6804,219.0552
304,0.32,Ideal,G,VVS1,61.7,56.0,730,52.226307000000006
305,0.3,Ideal,D,VVS2,59.4,60.0,802,51.60927899999999
306,0.5,Good,G,VS2,57.9,61.0,1415,82.13192000000001
307,1.1,Ideal,G,SI1,61.6,56.0,6837,179.61384
308,0.33,Premium,G,VS1,61.4,59.0,854,54.500518
309,0.51,Ideal,G,SI2,62.1,56.0,1148,83.19833999999999
310,0.4,Premium,H,VVS1,61.8,58.0,1088,64.41808800000001
311,0.73,Ideal,E,SI1,59.1,59.0,2846,123.63624
312,1.2,Good,D,SI1,63.5,55.0,5913,194.42328
313,0.77,Ideal,E,VS2,61.0,56.0,3303,127.50943199999999
314,0.71,Very Good,I,SI1,62.0,56.0,2098,115.215672
315,0.7,Ideal,F,VS2,61.0,55.0,3468,116.985792
316,0.52,Premium,D,SI1,60.9,61.0,1605,82.69303500000001
317,0.57,Ideal,H,VVS1,61.6,56.0,1961,93.35535999999999
318,0.71,Good,I,VVS1,63.8,56.0,2572,116.58210000000003
319,0.32,Ideal,G,VS1,62.3,55.0,645,52.49244
320,0.7,Very Good,J,SI2,61.7,59.0,1788,111.60601199999999
321,0.51,Ideal,E,VS1,62.0,57.0,1841,83.68647000000001
322,0.31,Premium,F,VVS1,59.2,62.0,997,49.571045999999996
323,0.41,Ideal,H,VVS2,62.0,56.0,899,66.83874000000002
324,0.97,Premium,F,SI1,59.9,59.0,4726,155.246328
325,0.4,Very Good,D,SI1,63.8,54.0,694,66.91229999999999
326,0.32,Ideal,D,VS2,62.0,55.0,972,52.419024000000014
327,0.3,Ideal,E,VVS2,61.6,57.0,1013,49.111920000000005
328,0.91,Good,H,SI1,58.2,59.0,3855,151.01184000000003
329,0.55,Ideal,F,VS2,61.1,57.0,1819,90.21713
330,1.09,Premium,I,SI2,62.3,62.0,2708,179.027901
331,0.37,Ideal,E,VVS2,61.4,56.0,876,61.97276799999999
332,1.01,Premium,G,SI1,58.8,58.0,4395,165.168465
333,0.54,Ideal,F,VVS2,61.6,56.0,2231,88.856654
334,1.51,Premium,I,SI2,62.6,59.0,7292,243.20077600000002
335,1.05,Ideal,G,VS1,61.3,57.0,7155,171.771558
336,0.51,Premium,I,SI1,61.3,58.0,1084,83.05794
337,1.01,Very Good,G,SI1,63.5,60.0,4271,160.311536
338,2.04,Ideal,I,SI1,60.2,56.0,16718,334.86453
339,1.55,Premium,J,VS2,60.7,59.0,8055,254.3535
340,1.14,Good,H,SI1,62.8,58.0,5487,184.128018
341,0.41,Ideal,F,IF,61.4,56.0,1439,68.767608
342,0.71,Very Good,F,VS1,62.2,55.0,3045,116.06739200000001
343,1.11,Premium,H,SI2,60.4,59.0,3605,179.28664
344,1.12,Very Good,E,SI2,60.9,63.0,3864,176.60870500000001
345,0.32,Premium,H,SI2,60.4,59.0,504,51.614107999999995
346,0.7,Good,E,SI2,63.7,55.0,2435,112.15297799999999
347,0.5,Very Good,F,SI2,61.4,61.0,1068,82.150564
348,0.31,Ideal,D,VS2,62.0,55.0,734,51.752328000000006
349,1.01,Premium,G,SI1,61.0,58.0,4808,168.247409
350,0.59,Very Good,G,VS1,62.0,56.0,1878,96.025545
351,0.32,Ideal,D,VS2,61.5,56.0,972,52.58429799999999
352,0.71,Ideal,D,SI2,61.0,56.0,2505,118.13497999999997
353,0.37,Ideal,F,VVS2,61.6,57.0,920,60.354828
354,0.31,Good,I,VS1,63.9,55.0,586,50.42696
355,0.71,Premium,H,SI1,62.9,58.0,2364,112.92266
356,1.21,Premium,H,SI1,61.6,61.0,6505,198.299488
357,2.01,Premium,G,SI2,59.4,58.0,15562,323.73022499999996
358,0.32,Ideal,D,VVS1,61.8,56.0,1067,52.658928
359,0.5,Premium,G,VVS2,61.4,57.0,1909,82.8954
360,0.31,Ideal,G,IF,62.1,56.0,871,50.317525999999994
361,0.4,Very Good,E,SI1,63.2,58.0,882,64.82992
362,0.23,Very Good,D,VVS2,61.3,58.0,530,37.757082000000004
363,0.38,Ideal,J,VS2,61.4,57.0,617,62.45694
364,1.38,Very Good,F,VS1,61.4,61.0,11286,221.53277999999997
365,0.56,Premium,D,VS2,61.1,58.0,1963,91.9815
366,1.33,Premium,G,VS2,58.6,61.0,9682,217.63889700000001
367,0.41,Fair,I,VS1,65.3,58.0,735,65.233476
368,0.7,Very Good,E,VVS2,61.5,58.0,3429,113.31495000000001
369,0.71,Ideal,E,VS2,61.6,57.0,3112,117.035586
370,0.42,Very Good,E,VVS2,59.8,56.0,1167,70.87752
371,1.56,Premium,H,VS2,62.2,58.0,10424,254.702448
372,1.03,Premium,J,SI2,62.8,58.0,3634,168.22404000000003
373,0.41,Ideal,D,VS1,62.8,57.0,1230,67.094104
374,0.31,Ideal,G,IF,61.7,54.0,891,52.227120000000006
375,0.42,Ideal,F,VVS1,62.0,55.0,1233,69.46368
376,0.96,Fair,G,SI1,69.7,59.0,3299,150.19158000000002
377,1.5,Ideal,I,I1,61.3,57.0,5593,245.84460799999997
378,0.4,Ideal,F,IF,61.8,55.0,1261,67.1184
379,0.27,Very Good,H,VVS2,62.1,57.0,486,43.5584
380,1.29,Premium,H,SI2,61.0,57.0,5418,213.575585
381,1.5,Premium,I,VS2,62.5,59.0,9055,241.1409
382,0.7,Very Good,F,SI1,61.4,57.0,2161,116.70921299999999
383,0.54,Very Good,F,VS1,61.8,59.0,1653,86.29442999999999
384,1.0,Very Good,F,SI1,63.5,56.0,5122,159.91078
385,1.26,Premium,H,SI1,62.1,57.0,6435,204.835488
386,0.91,Very Good,E,SI1,63.5,57.0,4138,143.529399
387,0.32,Ideal,I,IF,61.4,57.0,655,52.822236000000004
388,0.7,Premium,D,VS1,60.6,58.0,3239,114.65730000000002
389,0.51,Ideal,F,VS2,62.6,55.0,1875,84.31065
390,0.3,Ideal,G,VS2,60.8,57.0,491,50.258309999999994
391,0.3,Ideal,H,VS1,62.5,56.0,675,48.158767999999995
392,0.56,Very Good,E,VVS2,60.5,57.0,2442,92.10409600000001
393,1.5,Very Good,D,VS2,63.0,59.0,13372,242.06215999999998
394,0.31,Ideal,F,VS2,62.3,57.0,625,50.200779999999995
395,0.31,Good,F,SI1,63.1,57.0,516,49.990828
396,1.62,Ideal,F,VS1,61.3,56.0,16790,267.51543000000004
397,0.38,Very Good,D,VS2,60.9,58.0,933,61.190543
398,0.51,Premium,G,VS2,61.3,59.0,1443,83.218905
399,1.23,Very Good,H,VS2,60.6,59.0,6459,200.35155400000002
400,1.19,Premium,E,I1,60.2,61.0,3572,197.007555
401,0.55,Premium,E,VS2,60.1,59.0,1735,90.73408
402,1.5,Very Good,F,VS2,62.6,59.0,12870,240.14081
403,1.15,Premium,H,VVS2,58.8,58.0,6917,191.98215000000002
404,0.56,Ideal,E,VS1,60.0,55.0,2352,95.2965
405,1.58,Ideal,D,SI2,62.5,55.0,11428,255.45752
406,0.71,Very Good,E,SI1,62.9,57.0,2573,115.17533999999999
407,0.39,Good,J,VS2,63.3,56.0,581,62.19015999999999
408,0.5,Fair,H,VS1,66.5,60.0,1155,77.70912499999999
409,0.71,Premium,E,SI1,60.8,60.0,2629,113.85690000000001
410,0.53,Ideal,H,VS1,61.6,55.0,1678,87.13224
411,0.5,Ideal,E,SI2,61.1,58.0,1185,81.468504
412,0.5,Good,D,SI1,63.9,56.0,1257,78.700548
